Simulation;Node;Local Preference;Next-hop;Path Length;Termination Time
1;393314;•;;0;0
1;101;•;;0;0
1;262241;•;;0;0
1;393315;•;;0;0
1;102;•;;0;0
1;393312;•;;0;0
1;103;•;;0;0
1;393313;•;;0;0
1;104;•;;0;0
1;131178;•;;0;0
1;262252;•;;0;0
1;393326;•;;0;0
1;262253;•;;0;0
1;106;•;;0;0
1;262254;•;;0;0
1;393324;•;;0;0
1;262255;•;;0;0
1;393325;•;;0;0
1;131182;•;;0;0
1;262248;p;18809;5;10
1;393322;•;;0;0
1;109;•;;0;0
1;131183;•;;0;0
1;262249;•;;0;0
1;393323;•;;0;0
1;262250;•;;0;0
1;393320;•;;0;0
1;111;•;;0;0
1;131181;•;;0;0
1;393321;•;;0;0
1;112;•;;0;0
1;393334;•;;0;0
1;262261;•;;0;0
1;393335;•;;0;0
1;131184;•;;0;0
1;262262;•;;0;0
1;393332;•;;0;0
1;393333;•;;0;0
1;116;•;;0;0
1;131190;•;;0;0
1;262256;•;;0;0
1;393330;•;;0;0
1;262257;•;;0;0
1;118;•;;0;0
1;131188;•;;0;0
1;262258;•;;0;0
1;131189;•;;0;0
1;262259;•;;0;0
1;393329;•;;0;0
1;262268;•;;0;0
1;393342;•;;0;0
1;121;•;;0;0
1;131195;•;;0;0
1;262269;•;;0;0
1;122;•;;0;0
1;393340;•;;0;0
1;393341;•;;0;0
1;131198;•;;0;0
1;262264;•;;0;0
1;125;•;;0;0
1;131199;•;;0;0
1;262265;•;;0;0
1;393339;•;;0;0
1;131196;•;;0;0
1;262266;•;;0;0
1;393336;•;;0;0
1;127;•;;0;0
1;131197;•;;0;0
1;393337;•;;0;0
1;131202;•;;0;0
1;262276;•;;0;0
1;393350;•;;0;0
1;262277;•;;0;0
1;130;•;;0;0
1;262278;•;;0;0
1;393348;•;;0;0
1;131;•;;0;0
1;393349;•;;0;0
1;132;•;;0;0
1;262272;•;;0;0
1;393346;•;;0;0
1;131207;•;;0;0
1;262273;•;;0;0
1;393347;•;;0;0
1;262274;•;;0;0
1;393344;•;;0;0
1;262275;•;;0;0
1;131210;•;;0;0
1;137;•;;0;0
1;262285;•;;0;0
1;393359;•;;0;0
1;138;•;;0;0
1;262286;•;;0;0
1;393356;•;;0;0
1;262287;p;28666;3;6
1;140;•;;0;0
1;131214;•;;0;0
1;262280;•;;0;0
1;131215;•;;0;0
1;262281;•;;0;0
1;393355;•;;0;0
1;131212;•;;0;0
1;262282;•;;0;0
1;393352;•;;0;0
1;262283;•;;0;0
1;393353;•;;0;0
1;131218;•;;0;0
1;262292;•;;0;0
1;393366;•;;0;0
1;131219;•;;0;0
1;262293;•;;0;0
1;393367;•;;0;0
1;131216;•;;0;0
1;262294;•;;0;0
1;393364;•;;0;0
1;147;•;;0;0
1;131217;•;;0;0
1;262295;•;;0;0
1;393365;•;;0;0
1;131222;•;;0;0
1;262288;•;;0;0
1;393362;•;;0;0
1;149;•;;0;0
1;262289;•;;0;0
1;131220;•;;0;0
1;262290;•;;0;0
1;151;•;;0;0
1;131221;•;;0;0
1;131226;•;;0;0
1;262300;•;;0;0
1;393374;•;;0;0
1;153;•;;0;0
1;131227;•;;0;0
1;262301;•;;0;0
