 Time  | Event  |   Node   | Routing Information
   4   | LEARN  |  399017  | • via 3356
   4   | LEARN  |  398997  | • via 3356
   4   | LEARN  |  398994  | • via 3356
   4   | LEARN  |  398989  | • via 3356
   4   | LEARN  |  398976  | • via 3356
   4   | LEARN  |  398969  | • via 3356
   4   | LEARN  |  398965  | • via 3356
   4   | LEARN  |  398958  | • via 3356
   4   | LEARN  |  398945  | • via 3356
   4   | LEARN  |  398930  | • via 3356
   4   | LEARN  |  398899  | • via 3356
   4   | LEARN  |  398895  | • via 3356
   4   | LEARN  |  398863  | • via 3356
   4   | LEARN  |  398852  | • via 3356
   4   | LEARN  |  398850  | • via 3356
   4   | LEARN  |  398847  | • via 3356
   4   | LEARN  |  398814  | • via 3356
   4   | LEARN  |  398813  | • via 3356
   4   | LEARN  |  398811  | • via 3356
   4   | LEARN  |  398808  | • via 3356
   4   | LEARN  |  398805  | • via 3356
   4   | LEARN  |  398774  | • via 3356
   4   | LEARN  |  398772  | • via 3356
   4   | LEARN  |  398762  | • via 3356
   4   | LEARN  |  398756  | • via 3356
   4   | LEARN  |  398745  | • via 3356
   4   | LEARN  |  398743  | • via 3356
   4   | LEARN  |  398728  | • via 3356
   4   | LEARN  |  398712  | • via 3356
   4   | LEARN  |  398699  | • via 3356
   4   | LEARN  |  398667  | • via 3356
   4   | LEARN  |  398663  | • via 3356
   4   | LEARN  |  398655  | • via 3356
   4   | LEARN  |  398643  | • via 3356
   4   | LEARN  |  398642  | • via 3356
   4   | LEARN  |  398641  | • via 3356
   4   | LEARN  |  398577  | • via 3356
   4   | LEARN  |  398574  | • via 3356
   4   | LEARN  |  398573  | • via 3356
   4   | LEARN  |  398571  | • via 3356
   4   | LEARN  |  398564  | • via 3356
   4   | LEARN  |  398554  | • via 3356
   4   | LEARN  |  398537  | • via 3356
   4   | LEARN  |  398498  | • via 3356
   4   | LEARN  |  398475  | • via 3356
   4   | LEARN  |  398471  | • via 3356
   4   | LEARN  |  398465  | • via 3356
   4   | LEARN  |  398440  | • via 3356
   4   | LEARN  |  398424  | • via 3356
   4   | LEARN  |  398423  | • via 3356
   4   | LEARN  |  398416  | • via 3356
   4   | LEARN  |  398410  | • via 3356
   4   | LEARN  |  398403  | • via 3356
   4   | LEARN  |  398399  | • via 3356
   4   | LEARN  |  398360  | • via 3356
   4   | LEARN  |  398355  | • via 3356
   4   | LEARN  |  398319  | • via 3356
   4   | LEARN  |  398284  | • via 3356
